id,scope,name,primary_muscle,secondary_muscles,equipment,movement,ex_type,difficulty,animation_key,aliases,muscle_rows,workout_exercise_refs,client_workout_refs,workout_log_rows,set_log_rows,pr_rows,has_instructions,has_cues,has_mistakes,has_alternatives
exl_DCeMdgFUth,GLOBAL,Band Chest Press,CHEST,TRICEPS,BANDS,horizontal_push,bodyweight,BEGINNER,band_chest_press,,2,0,0,0,0,0,0,0,0,0
exl_l79Gnp7aj5,GLOBAL,Bench Press,CHEST,"CHEST, TRICEPS, FRONT DELTS",BARBELL,horizontal_push,free_weight,INTERMEDIATE,bench_press,flat bench | barbell bench | bench | bench press,4,198,1,161,644,0,0,0,0,0
exl_eeZRvVcmdK,GLOBAL,Cable Fly,CHEST,FRONT DELTS,CABLE,isolation,cable,BEGINNER,cable_fly,cable flies | chest fly,2,0,0,0,0,0,0,0,0,0
exl_4ZA2AoGx7v,GLOBAL,Chest Dip,CHEST,"TRICEPS, FRONT DELTS",BODYWEIGHT,horizontal_push,bodyweight,INTERMEDIATE,chest_dip,,3,0,0,0,0,0,0,0,0,0
exl_Dr5EeZ2tTd,GLOBAL,Dumbbell Bench Press,CHEST,"TRICEPS, FRONT DELTS",DUMBBELL,horizontal_push,free_weight,BEGINNER,dumbbell_bench_press,db bench | dumbbell press,3,0,0,0,0,0,0,0,0,0
exl_H4WI9owBpJ,GLOBAL,Dumbbell Fly,CHEST,FRONT DELTS,DUMBBELL,isolation,free_weight,BEGINNER,dumbbell_fly,,2,0,0,0,0,0,0,0,0,0
exl_EiUKY7k6AB,GLOBAL,Dumbbell Pullover,CHEST,"LATS, TRICEPS",DUMBBELL,vertical_pull,free_weight,INTERMEDIATE,db_pullover,,3,0,0,0,0,0,0,0,0,0
exl_cSf6H3ysrV,GLOBAL,Floor Press,CHEST,TRICEPS,BARBELL,horizontal_push,free_weight,INTERMEDIATE,floor_press,,2,0,0,0,0,0,0,0,0,0
exl_Fa2Gi0vCQ5,GLOBAL,Incline Push-up,CHEST,"TRICEPS, CORE",BODYWEIGHT,horizontal_push,bodyweight,BEGINNER,incline_push_up,,3,0,0,0,0,0,0,0,0,0
exl_SEq248iaD4,GLOBAL,Landmine Press,CHEST,"SHOULDERS, TRICEPS, CORE",BARBELL,vertical_push,free_weight,INTERMEDIATE,landmine_press,,4,0,0,0,0,0,0,0,0,0
exl_LvofD1XL6O,GLOBAL,Machine Chest Press,CHEST,"TRICEPS, FRONT DELTS",MACHINE,horizontal_push,machine,BEGINNER,machine_chest_press,chest press machine | machine press,3,0,0,0,0,0,0,0,0,0
exl_5oGlJFzTzT,GLOBAL,Machine Fly,CHEST,FRONT DELTS,MACHINE,isolation,machine,BEGINNER,machine_fly,,2,0,0,0,0,0,0,0,0,0
exl_jtE9TstBHi,GLOBAL,Pec Deck Fly,CHEST,FRONT DELTS,MACHINE,isolation,machine,BEGINNER,pec_deck,,2,0,0,0,0,0,0,0,0,0
exl_JVMyPP3twH,GLOBAL,Push-up,CHEST,"TRICEPS, CORE",BODYWEIGHT,horizontal_push,bodyweight,BEGINNER,push_up,pushup | press up,3,101,0,81,243,0,0,0,0,0
exl_oIMtiaZWJh,GLOBAL,Svend Press,CHEST,TRICEPS,DUMBBELL,horizontal_push,free_weight,BEGINNER,svend_press,,2,0,0,0,0,0,0,0,0,0
exl_N9iAkyTvcf,GLOBAL,Weighted Dip,CHEST,"TRICEPS, FRONT DELTS",BODYWEIGHT,horizontal_push,bodyweight,ADVANCED,weighted_dip,,3,0,0,0,0,0,0,0,0,0
exl_wkDLkabVxU,GLOBAL,Band Pallof Press,CORE,OBLIQUES,BANDS,core,bodyweight,INTERMEDIATE,band_pallof,,1,0,0,0,0,0,0,0,0,0
exl_vAlPBzN2pN,GLOBAL,Bird Dog,CORE,"GLUTES, LOWER BACK",BODYWEIGHT,core,bodyweight,BEGINNER,bird_dog,bird dogs,3,0,0,0,0,0,0,0,0,0
exl_gROOTS2xTp,GLOBAL,Dead Bug,CORE,ABS,BODYWEIGHT,core,bodyweight,BEGINNER,dead_bug,dead bugs,2,101,1,88,264,0,0,0,0,0
exl_jv9FSTvJIX,GLOBAL,Dragon Flag,CORE,"ABS, HIP FLEXORS",BODYWEIGHT,core,bodyweight,ADVANCED,dragon_flag,,2,0,0,0,0,0,0,0,0,0
exl_FfUeG63YKV,GLOBAL,Farmer's Carry,CORE,"FOREARMS, TRAPS, GLUTES",DUMBBELL,carry,free_weight,BEGINNER,farmers_carry,,4,0,0,0,0,0,0,0,0,0
exl_uC5Ht7fi2p,GLOBAL,Hollow Body Hold,CORE,"ABS, HIP FLEXORS",BODYWEIGHT,core,bodyweight,INTERMEDIATE,hollow_body_hold,,2,0,0,0,0,0,0,0,0,0
exl_piyoDHnboF,GLOBAL,Medicine Ball Slam,CORE,"LATS, SHOULDERS",BODYWEIGHT,carry,bodyweight,BEGINNER,med_ball_slam,,3,0,0,0,0,0,0,0,0,0
exl_ckSrlCA7wr,GLOBAL,Mountain Climbers,CORE,"QUADS, SHOULDERS",BODYWEIGHT,core,bodyweight,BEGINNER,mountain_climbers,,3,0,0,0,0,0,0,0,0,0
exl_F5ojikEopZ,GLOBAL,Pallof Press,CORE,OBLIQUES,CABLE,core,cable,INTERMEDIATE,pallof_press,pallof,1,0,0,0,0,0,0,0,0,0
exl_43Q5XYrME0,GLOBAL,Plank,CORE,"ABS, GLUTES",BODYWEIGHT,core,bodyweight,BEGINNER,plank,front plank,3,203,1,172,516,0,0,0,0,0
exl_3IFv6JwS7i,GLOBAL,Side Plank,CORE,"OBLIQUES, GLUTES",BODYWEIGHT,core,bodyweight,BEGINNER,side_plank,side planks,2,0,0,0,0,0,0,0,0,0
exl_MWzdmMXXz5,GLOBAL,Suitcase Carry,CORE,"OBLIQUES, FOREARMS, TRAPS",DUMBBELL,carry,free_weight,BEGINNER,suitcase_carry,,3,0,0,0,0,0,0,0,0,0
exl_m2DZymyn1E,GLOBAL,Waiter Carry,CORE,"SHOULDERS, FOREARMS",DUMBBELL,carry,free_weight,INTERMEDIATE,waiter_carry,,3,0,0,0,0,0,0,0,0,0
exl_SQ9ZJMtDUq,GLOBAL,Dead Hang,FOREARMS,"LATS, TRAPS",PULL_UP_BAR,vertical_pull,bodyweight,BEGINNER,dead_hang,hang | passive hang,3,101,1,80,240,0,0,0,0,0
exl_0hxM9Z68Sh,GLOBAL,Plate Pinch,FOREARMS,—,BARBELL,carry,free_weight,BEGINNER,plate_pinch,,1,0,0,0,0,0,0,0,0,0
exl_9YbXNeu9LP,GLOBAL,Reverse Curl,FOREARMS,"BICEPS, BRACHIALIS",BARBELL,isolation,free_weight,BEGINNER,reverse_curl,,2,0,0,0,0,0,0,0,0,0
exl_iCnkFTPq4b,GLOBAL,Wrist Curl,FOREARMS,—,BARBELL,isolation,free_weight,BEGINNER,wrist_curl,,1,0,0,0,0,0,0,0,0,0
exl_QL5b8RErNX,GLOBAL,Front Raise,FRONT DELTS,SIDE DELTS,DUMBBELL,isolation,free_weight,BEGINNER,front_raise,,2,0,0,0,0,0,0,0,0,0
exl_vWhJ7Qlfp6,GLOBAL,Plate Front Raise,FRONT DELTS,SIDE DELTS,BARBELL,isolation,free_weight,BEGINNER,plate_raise,,2,0,0,0,0,0,0,0,0,0
exl_7wTxi7ro2X,GLOBAL,Barbell Snatch,FULL BODY,"QUADS, GLUTES, SHOULDERS, CORE",BARBELL,hinge,free_weight,ADVANCED,snatch,,4,0,0,0,0,0,0,0,0,0
exl_uMosBqdb2y,GLOBAL,Burpee,FULL BODY,"CORE, CHEST, QUADS",BODYWEIGHT,carry,bodyweight,INTERMEDIATE,burpee,,3,0,0,0,0,0,0,0,0,0
exl_3v3iZLaPeA,GLOBAL,Clean and Jerk,FULL BODY,"QUADS, GLUTES, SHOULDERS, CORE",BARBELL,hinge,free_weight,ADVANCED,clean_jerk,,4,0,0,0,0,0,0,0,0,0
exl_79TuZ58q2x,GLOBAL,Devil Press,FULL BODY,"SHOULDERS, CORE, QUADS",DUMBBELL,carry,free_weight,ADVANCED,devil_press,,3,0,0,0,0,0,0,0,0,0
exl_FZ5Qo9cWEo,GLOBAL,Power Clean,FULL BODY,"QUADS, GLUTES, TRAPS, CORE",BARBELL,hinge,free_weight,ADVANCED,power_clean,,4,0,0,0,0,0,0,0,0,0
exl_G6MPf0mdX9,GLOBAL,Sled Pull,FULL BODY,"LATS, TRAPS, CORE",BODYWEIGHT,carry,bodyweight,INTERMEDIATE,sled_pull,,3,0,0,0,0,0,0,0,0,0
exl_RHTU3vUGGT,GLOBAL,Sled Push,FULL BODY,"QUADS, GLUTES, CALVES",BODYWEIGHT,carry,bodyweight,INTERMEDIATE,sled_push,sled,3,0,0,0,0,0,0,0,0,0
exl_3xb74GAeHq,GLOBAL,Turkish Get-Up,FULL BODY,"CORE, SHOULDERS, GLUTES",KETTLEBELL,carry,free_weight,ADVANCED,turkish_getup,tgu | turkish get up,3,0,0,0,0,0,0,0,0,0
exl_A6X3CpmtfB,GLOBAL,Banded Hip Thrust,GLUTES,"HAMSTRINGS, CORE",BANDS,hinge,bodyweight,BEGINNER,banded_hip_thrust,,3,0,0,0,0,0,0,0,0,0
exl_QvZexaTzIs,GLOBAL,Cable Glute Kickback,GLUTES,HAMSTRINGS,CABLE,isolation,cable,BEGINNER,cable_kickback,,2,0,0,0,0,0,0,0,0,0
exl_4T3a7RZn9g,GLOBAL,Cable Pull-Through,GLUTES,HAMSTRINGS,CABLE,hinge,cable,INTERMEDIATE,cable_pull_through,pull through | pullthrough,2,0,0,0,0,0,0,0,0,0
exl_Dy7bFVhYmg,GLOBAL,Curtsy Lunge,GLUTES,"QUADS, ADDUCTORS",DUMBBELL,lunge,free_weight,BEGINNER,curtsy_lunge,,2,0,0,0,0,0,0,0,0,0
exl_aES6BsvgiD,GLOBAL,Dumbbell Hip Thrust,GLUTES,"HAMSTRINGS, CORE",DUMBBELL,hinge,free_weight,BEGINNER,dumbbell_hip_thrust,,3,0,0,0,0,0,0,0,0,0
exl_62Mltj9Pso,GLOBAL,Dumbbell Swing,GLUTES,"HAMSTRINGS, LOWER BACK, CORE",DUMBBELL,hinge,free_weight,INTERMEDIATE,db_swing,,4,0,0,0,0,0,0,0,0,0
exl_Jw3cCnT1mM,GLOBAL,Frog Pump,GLUTES,HAMSTRINGS,BODYWEIGHT,hinge,bodyweight,BEGINNER,frog_pump,,2,0,0,0,0,0,0,0,0,0
exl_J5f7y3nN8H,GLOBAL,Glute Bridge,GLUTES,"HAMSTRINGS, CORE",BODYWEIGHT,hinge,bodyweight,BEGINNER,glute_bridge,hip bridge | glute bridges,3,0,0,0,0,0,0,0,0,0
exl_8fEYI11QOe,GLOBAL,Hip Abduction Machine,GLUTES,—,MACHINE,isolation,machine,BEGINNER,hip_abduction_machine,,1,0,0,0,0,0,0,0,0,0
exl_l0iwFz68vk,GLOBAL,Hip Thrust,GLUTES,HAMSTRINGS,BARBELL,hinge,free_weight,BEGINNER,hip_thrust,glute thrust | hip thrusts,2,101,1,81,243,0,0,0,0,0
exl_cHBxtZ1YWC,GLOBAL,Kettlebell Swing,GLUTES,"HAMSTRINGS, LOWER BACK, CORE",KETTLEBELL,hinge,free_weight,INTERMEDIATE,kettlebell_swing,kb swing | russian swing,4,0,0,0,0,0,0,0,0,0
exl_6C135S6R7M,GLOBAL,Lateral Band Walks,GLUTES,—,BANDS,isolation,bodyweight,BEGINNER,band_walks,,1,0,0,0,0,0,0,0,0,0
exl_B987L3glPs,GLOBAL,Single-Leg Glute Bridge,GLUTES,"HAMSTRINGS, CORE",BODYWEIGHT,hinge,bodyweight,BEGINNER,single_leg_glute_bridge,,3,0,0,0,0,0,0,0,0,0
exl_By8OqAoepc,GLOBAL,Sumo Deadlift,GLUTES,"QUADS, HAMSTRINGS, CORE",BARBELL,hinge,free_weight,ADVANCED,sumo_deadlift,sumo deads,4,0,0,0,0,0,0,0,0,0
exl_5IzjO74Qao,GLOBAL,Glute-Ham Raise,HAMSTRINGS,"GLUTES, LOWER BACK",MACHINE,hinge,machine,ADVANCED,glute_ham_raise,,3,0,0,0,0,0,0,0,0,0
exl_rR5K3qnU0L,GLOBAL,Good Morning,HAMSTRINGS,"LOWER BACK, GLUTES",BARBELL,hinge,free_weight,ADVANCED,good_morning,,3,0,0,0,0,0,0,0,0,0
exl_yv3jOurA7H,GLOBAL,Leg Curl,HAMSTRINGS,—,MACHINE,isolation,machine,BEGINNER,leg_curl,hamstring curl | leg curls,1,101,1,84,252,0,0,0,0,0
exl_p3fF8OKj5C,GLOBAL,Lying Leg Curl,HAMSTRINGS,—,MACHINE,isolation,machine,BEGINNER,lying_leg_curl,,1,0,0,0,0,0,0,0,0,0
exl_Ozl658FJj5,GLOBAL,Nordic Curl,HAMSTRINGS,"GLUTES, CORE",BODYWEIGHT,hinge,bodyweight,ADVANCED,nordic_curl,nordic hamstring curl,3,0,0,0,0,0,0,0,0,0
exl_5AzzVIWSwe,GLOBAL,Romanian Deadlift,HAMSTRINGS,"GLUTES, LOWER BACK",BARBELL,hinge,free_weight,INTERMEDIATE,romanian_deadlift,rdl | romanian deadlifts,3,102,1,84,252,0,0,0,0,0
exl_2yAfoxlEbG,GLOBAL,Seated Leg Curl,HAMSTRINGS,—,MACHINE,isolation,machine,BEGINNER,seated_leg_curl,,1,0,0,0,0,0,0,0,0,0
exl_NbrXGVagJO,GLOBAL,Single-Leg Romanian Deadlift,HAMSTRINGS,"GLUTES, CORE",DUMBBELL,hinge,free_weight,INTERMEDIATE,single_leg_rdl,single leg rdl | one leg rdl,3,0,0,0,0,0,0,0,0,0
exl_Hr2OJJv87U,GLOBAL,Straight-Leg Deadlift,HAMSTRINGS,"GLUTES, LOWER BACK",BARBELL,hinge,free_weight,INTERMEDIATE,straight_leg_deadlift,,3,0,0,0,0,0,0,0,0,0
exl_whk8J7xwBd,GLOBAL,Band Lat Pulldown,LATS,BICEPS,BANDS,vertical_pull,bodyweight,BEGINNER,band_lat_pulldown,,2,0,0,0,0,0,0,0,0,0
exl_0btTRMYlOK,GLOBAL,Chin-up,LATS,"BICEPS, UPPER BACK",PULL_UP_BAR,vertical_pull,bodyweight,INTERMEDIATE,chin_up,chinup | chin ups,3,0,0,0,0,0,0,0,0,0
exl_oAf7w7xri6,GLOBAL,Close-Grip Pulldown,LATS,BICEPS,CABLE,vertical_pull,cable,BEGINNER,close_grip_pulldown,,2,0,0,0,0,0,0,0,0,0
exl_moAGzBnt3N,GLOBAL,Dumbbell Row,LATS,"UPPER BACK, BICEPS",DUMBBELL,horizontal_pull,free_weight,BEGINNER,dumbbell_row,db row | one arm row,3,102,1,80,240,0,0,0,0,0
exl_f0Xvtpt00I,GLOBAL,Lat Pulldown,LATS,"BICEPS, REAR DELTS",CABLE,vertical_pull,cable,BEGINNER,lat_pulldown,lat pull down | pulldown | pull down,3,304,2,241,883,0,0,0,0,0
exl_GJk4VQsNZN,GLOBAL,Meadows Row,LATS,"UPPER BACK, BICEPS",BARBELL,horizontal_pull,free_weight,ADVANCED,meadows_row,,3,0,0,0,0,0,0,0,0,0
exl_QcTR5GIKpP,GLOBAL,Muscle-Up,LATS,"TRICEPS, CHEST, CORE",PULL_UP_BAR,vertical_pull,bodyweight,ADVANCED,muscle_up,,4,0,0,0,0,0,0,0,0,0
exl_U3cUW72li1,GLOBAL,Pull-up,LATS,"BICEPS, UPPER BACK",PULL_UP_BAR,vertical_pull,bodyweight,INTERMEDIATE,pull_up,pullup | pull ups,3,0,0,0,0,0,0,0,0,0
exl_QbWXdNHLnL,GLOBAL,Reverse-Grip Pulldown,LATS,BICEPS,CABLE,vertical_pull,cable,INTERMEDIATE,reverse_grip_pulldown,,2,0,0,0,0,0,0,0,0,0
exl_hedDilTc9c,GLOBAL,Rope Climb,LATS,"FOREARMS, BICEPS, CORE",BODYWEIGHT,vertical_pull,bodyweight,ADVANCED,rope_climb,,4,0,0,0,0,0,0,0,0,0
exl_E4RYGNIPhQ,GLOBAL,Single-Arm Cable Row,LATS,"UPPER BACK, BICEPS",CABLE,horizontal_pull,cable,BEGINNER,single_arm_cable_row,,3,0,0,0,0,0,0,0,0,0
exl_DxkyLLj8iI,GLOBAL,Single-Arm Pulldown,LATS,BICEPS,CABLE,vertical_pull,cable,BEGINNER,single_arm_pulldown,,2,0,0,0,0,0,0,0,0,0
exl_QZWhK8Mrsu,GLOBAL,Straight-Arm Pulldown,LATS,"TRICEPS, CORE",CABLE,vertical_pull,cable,BEGINNER,straight_arm_pulldown,,3,0,0,0,0,0,0,0,0,0
exl_7QRgNEtckx,GLOBAL,Wide-Grip Lat Pulldown,LATS,"REAR DELTS, BICEPS",CABLE,vertical_pull,cable,BEGINNER,wide_grip_pulldown,,3,0,0,0,0,0,0,0,0,0
exl_WMw4TJF9Ny,GLOBAL,Yates Row,LATS,"UPPER BACK, BICEPS",BARBELL,horizontal_pull,free_weight,INTERMEDIATE,yates_row,,3,0,0,0,0,0,0,0,0,0
exl_Ha519Nk6y2,GLOBAL,Back Extension,LOWER BACK,"GLUTES, HAMSTRINGS",BODYWEIGHT,hinge,bodyweight,BEGINNER,back_extension,,3,0,0,0,0,0,0,0,0,0
exl_Pl5gKM22eZ,GLOBAL,Reverse Hyperextension,LOWER BACK,"GLUTES, HAMSTRINGS",MACHINE,hinge,machine,INTERMEDIATE,reverse_hyper,,3,0,0,0,0,0,0,0,0,0
exl_VqKosn40O2,GLOBAL,Decline Barbell Press,LOWER CHEST,"TRICEPS, FRONT DELTS",BARBELL,horizontal_push,free_weight,INTERMEDIATE,decline_barbell_press,decline bench press | decline press,3,0,0,0,0,0,0,0,0,0
exl_EVTTOKiVNw,GLOBAL,Decline Dumbbell Press,LOWER CHEST,"TRICEPS, FRONT DELTS",DUMBBELL,horizontal_push,free_weight,INTERMEDIATE,decline_db_press,,3,0,0,0,0,0,0,0,0,0
exl_K28Q4xrElJ,GLOBAL,High Cable Fly,LOWER CHEST,FRONT DELTS,CABLE,isolation,cable,BEGINNER,high_cable_fly,,2,0,0,0,0,0,0,0,0,0
exl_rjq4gtc6AK,GLOBAL,Ankle Rocker,MOBILITY,"CALVES, ANKLES",BODYWEIGHT,mobility,bodyweight,BEGINNER,ankle_rocker,,1,0,0,0,0,0,0,0,0,0
exl_Xhtjy0Rwwr,GLOBAL,Band Shoulder Dislocate,MOBILITY,"SHOULDERS, CHEST",BANDS,mobility,bodyweight,BEGINNER,shoulder_dislocate,dislocates | band dislocates,2,0,0,0,0,0,0,0,0,0
exl_lm2I2iw4q6,GLOBAL,Cat-Cow,MOBILITY,"SPINE, CORE",BODYWEIGHT,mobility,bodyweight,BEGINNER,cat_cow,,1,0,0,0,0,0,0,0,0,0
exl_JAYqLWZknl,GLOBAL,Couch Stretch,MOBILITY,"HIP FLEXORS, QUADS",BODYWEIGHT,mobility,bodyweight,BEGINNER,couch_stretch,hip flexor stretch,1,0,0,0,0,0,0,0,0,0
exl_lH8xO4wPJu,GLOBAL,Deep Squat Hold,MOBILITY,"QUADS, HIPS, CALVES",BODYWEIGHT,mobility,bodyweight,BEGINNER,deep_squat_hold,squat hold,2,0,0,0,0,0,0,0,0,0
exl_wvh5VOsnej,GLOBAL,Pigeon Pose,MOBILITY,"GLUTES, HIPS",BODYWEIGHT,mobility,bodyweight,BEGINNER,pigeon_pose,pigeon,1,0,0,0,0,0,0,0,0,0
exl_GhtK300FxV,GLOBAL,Thoracic Rotation,MOBILITY,"SPINE, SHOULDERS",BODYWEIGHT,mobility,bodyweight,BEGINNER,thoracic_rotation,,1,0,0,0,0,0,0,0,0,0
exl_qZX5FVhFos,GLOBAL,Wall Slide,MOBILITY,"SHOULDERS, UPPER BACK",BODYWEIGHT,mobility,bodyweight,BEGINNER,wall_slide,,2,0,0,0,0,0,0,0,0,0
exl_aNNqSo66au,GLOBAL,World Greatest Stretch,MOBILITY,"HIPS, HAMSTRINGS, SPINE",BODYWEIGHT,mobility,bodyweight,BEGINNER,worlds_greatest_stretch,wgs | worlds greatest,1,0,0,0,0,0,0,0,0,0
exl_aQmgByyKEt,GLOBAL,Deadlift,POSTERIOR CHAIN,"LATS, CORE, TRAPS",BARBELL,hinge,free_weight,ADVANCED,deadlift,conventional deadlift | barbell deadlift,4,101,0,81,243,0,0,0,0,0
