key,name,normalized,primary_muscle,equipment,movement,difficulty,classification,matched_existing,matched_name,reason,author_hint,integrity_problems
pinwheel_curl,Pinwheel Curl,curl pinwheel,BICEPS,DUMBBELL,isolation,BEGINNER,ALIAS_TO_EXISTING,hammer_curl,Hammer Curl,"author-flagged alias of ""hammer_curl"" (auto-check did not independently match — confirm)",ALIAS→hammer_curl,
db_front_squat_dup,Dumbbell Goblet Squat,dumbbell goblet squat,QUADS,DUMBBELL,squat,BEGINNER,DUPLICATE_DO_NOT_IMPORT,goblet_squat,Goblet Squat,"author-flagged duplicate of ""goblet_squat"" (auto-check did not independently match — confirm)",DUPLICATE→goblet_squat,
half_kneeling_pallof,Half-Kneeling Pallof Press,half kneeling pallof press,OBLIQUES,CABLE,core,INTERMEDIATE,GENUINELY_NEW,,,no name/alias/movement collision,NEW,
landmine_rotation,Landmine Rotation,landmine rotation,OBLIQUES,BARBELL,core,INTERMEDIATE,GENUINELY_NEW,,,no name/alias/movement collision,NEW,
cable_woodchop,Cable Woodchopper,cable woodchopper,OBLIQUES,CABLE,core,BEGINNER,GENUINELY_NEW,,,no name/alias/movement collision,NEW,
bear_crawl,Bear Crawl,bear crawl,CORE,BODYWEIGHT,carry,BEGINNER,GENUINELY_NEW,,,no name/alias/movement collision,NEW,
side_plank_rotation,Side Plank with Rotation,plank rotation side,OBLIQUES,BODYWEIGHT,core,INTERMEDIATE,GENUINELY_NEW,,,no name/alias/movement collision,NEW,
oblique_crunch,Oblique Crunch,crunch oblique,OBLIQUES,BODYWEIGHT,core,BEGINNER,GENUINELY_NEW,,,no name/alias/movement collision,NEW,
suitcase_hold,Suitcase Hold,hold suitcase,CORE,DUMBBELL,carry,BEGINNER,ALIAS_TO_EXISTING,suitcase_carry,Suitcase Carry,"author-flagged alias of ""suitcase_carry"" (auto-check did not independently match — confirm)",ALIAS→suitcase_carry,
trx_row,TRX Row,row trx,UPPER BACK,TRX,horizontal_pull,BEGINNER,GENUINELY_NEW,,,no name/alias/movement collision,NEW,
trx_push_up,TRX Push-Up,push trx up,CHEST,TRX,horizontal_push,INTERMEDIATE,GENUINELY_NEW,,,no name/alias/movement collision,NEW,
trx_fallout,TRX Fallout,fallout trx,CORE,TRX,core,INTERMEDIATE,GENUINELY_NEW,,,no name/alias/movement collision,NEW,
trx_hamstring_curl,TRX Hamstring Curl,curl hamstring trx,HAMSTRINGS,TRX,hinge,INTERMEDIATE,GENUINELY_NEW,,,no name/alias/movement collision,NEW,
trx_pistol_squat,TRX Assisted Pistol Squat,assisted pistol squat trx,QUADS,TRX,squat,INTERMEDIATE,GENUINELY_NEW,,,no name/alias/movement collision,NEW,
trx_y_fly,TRX Y-Fly,fly trx y,REAR DELTS,TRX,horizontal_pull,INTERMEDIATE,GENUINELY_NEW,,,no name/alias/movement collision,NEW,
ring_row,Ring Row,ring row,UPPER BACK,RINGS,horizontal_pull,BEGINNER,GENUINELY_NEW,,,no name/alias/movement collision,NEW,
ring_dip,Ring Dip,dip ring,CHEST,RINGS,horizontal_push,ADVANCED,GENUINELY_NEW,,,no name/alias/movement collision,NEW,
ring_push_up,Ring Push-Up,push ring up,CHEST,RINGS,horizontal_push,INTERMEDIATE,GENUINELY_NEW,,,no name/alias/movement collision,NEW,
ring_support_hold,Ring Support Hold,hold ring support,SHOULDERS,RINGS,core,INTERMEDIATE,GENUINELY_NEW,,,no name/alias/movement collision,NEW,
ring_muscle_up,Ring Muscle-Up,muscle ring up,LATS,RINGS,vertical_pull,ADVANCED,GENUINELY_NEW,,,no name/alias/movement collision,NEW,
sled_drag_forward,Forward Sled Drag,drag forward sled,QUADS,SLED,carry,BEGINNER,GENUINELY_NEW,,,no name/alias/movement collision,NEW,
sled_backward_drag,Backward Sled Drag,backward drag sled,QUADS,SLED,carry,BEGINNER,GENUINELY_NEW,,,no name/alias/movement collision,NEW,
sled_row,Sled Row,row sled,UPPER BACK,SLED,horizontal_pull,BEGINNER,ALIAS_TO_EXISTING,sled_pull,Sled Pull,"author-flagged alias of ""sled_pull"" (auto-check did not independently match — confirm)",ALIAS→sled_pull,
sandbag_clean,Sandbag Clean,clean sandbag,FULL BODY,SANDBAG,hinge,INTERMEDIATE,GENUINELY_NEW,,,no name/alias/movement collision,NEW,
sandbag_shouldering,Sandbag Shouldering,sandbag shouldering,FULL BODY,SANDBAG,hinge,INTERMEDIATE,GENUINELY_NEW,,,no name/alias/movement collision,NEW,
sandbag_carry,Sandbag Bear-Hug Carry,bear carry hug sandbag,CORE,SANDBAG,carry,BEGINNER,GENUINELY_NEW,,,no name/alias/movement collision,NEW,
trap_bar_deadlift,Trap-Bar Deadlift,bar deadlift trap,POSTERIOR CHAIN,TRAP_BAR,hinge,INTERMEDIATE,GENUINELY_NEW,,,no name/alias/movement collision,NEW,
trap_bar_carry,Trap-Bar Carry,bar carry trap,CORE,TRAP_BAR,carry,BEGINNER,GENUINELY_NEW,,,no name/alias/movement collision,NEW,
trap_bar_jump,Trap-Bar Jump,bar jump trap,QUADS,TRAP_BAR,squat,ADVANCED,GENUINELY_NEW,,,no name/alias/movement collision,NEW,
landmine_squat_press,Landmine Squat-to-Press,landmine press squat,FULL BODY,BARBELL,squat,INTERMEDIATE,GENUINELY_NEW,,,no name/alias/movement collision,NEW,
landmine_rdl,Landmine Romanian Deadlift,deadlift landmine romanian,HAMSTRINGS,BARBELL,hinge,INTERMEDIATE,GENUINELY_NEW,,,no name/alias/movement collision,NEW,
med_ball_rotational_throw,Medicine Ball Rotational Throw,ball medicine rotational throw,OBLIQUES,MEDICINE_BALL,core,INTERMEDIATE,GENUINELY_NEW,,,no name/alias/movement collision,NEW,
med_ball_chest_pass,Medicine Ball Chest Pass,ball chest medicine pass,CHEST,MEDICINE_BALL,horizontal_push,BEGINNER,GENUINELY_NEW,,,no name/alias/movement collision,NEW,
broad_jump,Broad Jump,broad jump,QUADS,BODYWEIGHT,squat,INTERMEDIATE,GENUINELY_NEW,,,no name/alias/movement collision,NEW,
depth_jump,Depth Jump,depth jump,QUADS,PLYO_BOX,squat,ADVANCED,GENUINELY_NEW,,,no name/alias/movement collision,NEW,
reverse_nordic,Reverse Nordic Curl,curl nordic reverse,QUADS,BODYWEIGHT,isolation,INTERMEDIATE,GENUINELY_NEW,,,no name/alias/movement collision,NEW,
jefferson_curl,Jefferson Curl,curl jefferson,LOWER BACK,DUMBBELL,hinge,INTERMEDIATE,GENUINELY_NEW,,,no name/alias/movement collision,NEW,
hip_airplane,Hip Airplane,airplane hip,GLUTES,BODYWEIGHT,hinge,ADVANCED,GENUINELY_NEW,,,no name/alias/movement collision,NEW,
kang_squat,Kang Squat,kang squat,HAMSTRINGS,BARBELL,hinge,ADVANCED,GENUINELY_NEW,,,no name/alias/movement collision,NEW,
prone_trap_raise,Prone Trap-3 Raise,3 prone raise trap,TRAPS,DUMBBELL,isolation,BEGINNER,GENUINELY_NEW,,,no name/alias/movement collision,NEW,
cable_y_raise,Cable Y-Raise,cable raise y,TRAPS,CABLE,isolation,BEGINNER,GENUINELY_NEW,,,no name/alias/movement collision,NEW,
kroc_row,Kroc Row,kroc row,LATS,DUMBBELL,horizontal_pull,ADVANCED,GENUINELY_NEW,,,no name/alias/movement collision,NEW-borderline,
wrist_extension,Wrist Extension,extension wrist,FOREARMS,DUMBBELL,isolation,BEGINNER,GENUINELY_NEW,,,no name/alias/movement collision,NEW,
farmers_walk,Farmer's Walk,farmer walk,CORE,DUMBBELL,carry,BEGINNER,ALIAS_TO_EXISTING,farmers_carry,Farmer's Carry,"author-flagged alias of ""farmers_carry"" (auto-check did not independently match — confirm)",ALIAS→farmers_carry,
jefferson_deadlift,Jefferson Deadlift,deadlift jefferson,GLUTES,BARBELL,hinge,ADVANCED,GENUINELY_NEW,,,no name/alias/movement collision,NEW,
hanging_knee_raise,Hanging Knee Raise,hanging knee raise,ABS,BODYWEIGHT,core,BEGINNER,GENUINELY_NEW,,,no name/alias/movement collision,NEW,
toes_to_bar,Toes-to-Bar,bar toe,ABS,PULL_UP_BAR,core,ADVANCED,GENUINELY_NEW,,,no name/alias/movement collision,NEW,
deficit_push_up,Deficit Push-Up,deficit push up,CHEST,BODYWEIGHT,horizontal_push,INTERMEDIATE,GENUINELY_NEW,,,no name/alias/movement collision,NEW,
archer_push_up,Archer Push-Up,archer push up,CHEST,BODYWEIGHT,horizontal_push,ADVANCED,GENUINELY_NEW,,,no name/alias/movement collision,NEW,
cable_pullover,Cable Pullover,cable pullover,LATS,CABLE,vertical_pull,BEGINNER,GENUINELY_NEW,,,no name/alias/movement collision,NEW,
