exercise_id,canonical_name,aliases,muscle_group,sub_muscle_group,primary_muscles,secondary_muscles,equipment,equipment_category,movement_pattern,exercise_type,compound_or_isolation,unilateral_or_bilateral,bodyweight,difficulty,beginner_friendly,tracking_type,min_reps,max_reps,instructions,form_cues,common_mistakes,progression_exercises,regression_exercises,alternative_exercises,status,source
exl_6PyIrc41x3,TRX Push-Up,trx push up,chest,,CHEST,"TRICEPS, CORE",TRX,functional,horizontal push,bodyweight,compound,bilateral,yes,INTERMEDIATE,no,bodyweight_reps,8,15,,,,,push_up,ring_push_up,active,NEW
exl_N9iAkyTvcf,Weighted Dip,,chest,,CHEST,"TRICEPS, FRONT DELTS",BODYWEIGHT,bodyweight,horizontal push,bodyweight,compound,bilateral,yes,ADVANCED,no,weighted_bodyweight,4,8,,,,,assisted_dip | deficit_push_up,,active,EXISTING
exl_wkDLkabVxU,Band Pallof Press,,core,,CORE,OBLIQUES,BANDS,functional,core/anti-movement,bodyweight,isolation,bilateral,no,INTERMEDIATE,no,weight_reps,10,15,,,,,,half_kneeling_pallof,active,EXISTING
exl_tXTQNAS4pq,Bear Crawl,bear hold | bear plank,core,,CORE,"SHOULDERS, QUADS",BODYWEIGHT,bodyweight,loaded carry,bodyweight,compound,bilateral,yes,BEGINNER,yes,distance_time,20,40,,,,,,plank | dead_bug,active,NEW
exl_vAlPBzN2pN,Bird Dog,bird dogs,core,,CORE,"GLUTES, LOWER BACK",BODYWEIGHT,bodyweight,core/anti-movement,bodyweight,isolation,bilateral,yes,BEGINNER,yes,bodyweight_reps,10,15,,,,,,hip_airplane,active,EXISTING
exl_gROOTS2xTp,Dead Bug,dead bugs,core,,CORE,ABS,BODYWEIGHT,bodyweight,core/anti-movement,bodyweight,isolation,bilateral,yes,BEGINNER,yes,bodyweight_reps,10,15,,,,,,bear_crawl,active,EXISTING
exl_jv9FSTvJIX,Dragon Flag,,core,,CORE,"ABS, HIP FLEXORS",BODYWEIGHT,bodyweight,core/anti-movement,bodyweight,isolation,bilateral,yes,ADVANCED,no,bodyweight_reps,10,15,,,,,,,active,EXISTING
exl_FfUeG63YKV,Farmer's Carry,farmers walk | farmer walk | farmers walking | loaded carry walk,core,,CORE,"FOREARMS, TRAPS, GLUTES",DUMBBELL,free weights,loaded carry,free_weight,compound,bilateral,no,BEGINNER,yes,distance_time,20,40,,,,,,sandbag_carry | trap_bar_carry,active,EXISTING
exl_uC5Ht7fi2p,Hollow Body Hold,,core,,CORE,"ABS, HIP FLEXORS",BODYWEIGHT,bodyweight,core/anti-movement,bodyweight,isolation,bilateral,yes,INTERMEDIATE,no,time,30,45,,,,,,,active,EXISTING
exl_piyoDHnboF,Medicine Ball Slam,,core,,CORE,"LATS, SHOULDERS",BODYWEIGHT,bodyweight,loaded carry,bodyweight,compound,bilateral,yes,BEGINNER,yes,distance_time,20,40,,,,,,med_ball_chest_pass,active,EXISTING
exl_ckSrlCA7wr,Mountain Climbers,,core,,CORE,"QUADS, SHOULDERS",BODYWEIGHT,bodyweight,core/anti-movement,bodyweight,isolation,bilateral,yes,BEGINNER,yes,bodyweight_reps,10,15,,,,,,,active,EXISTING
exl_F5ojikEopZ,Pallof Press,pallof,core,,CORE,OBLIQUES,CABLE,cable,core/anti-movement,cable,isolation,bilateral,no,INTERMEDIATE,no,weight_reps,10,15,,,,,,half_kneeling_pallof | cable_woodchop,active,EXISTING
exl_43Q5XYrME0,Plank,front plank,core,,CORE,"ABS, GLUTES",BODYWEIGHT,bodyweight,core/anti-movement,bodyweight,isolation,bilateral,yes,BEGINNER,yes,time,30,45,,,,trx_fallout,,trx_fallout | bear_crawl,active,EXISTING
exl_5DKwRaAf02,Sandbag Bear-Hug Carry,sandbag bear hug carry,core,,CORE,"QUADS, GLUTES, TRAPS",SANDBAG,functional,loaded carry,free_weight,compound,bilateral,no,BEGINNER,yes,distance_time,20,40,,,,,,farmers_carry | suitcase_carry,active,NEW
exl_3IFv6JwS7i,Side Plank,side planks,core,,CORE,"OBLIQUES, GLUTES",BODYWEIGHT,bodyweight,core/anti-movement,bodyweight,isolation,bilateral,yes,BEGINNER,yes,time,30,45,,,,copenhagen_plank | side_plank_rotation,,,active,EXISTING
exl_MWzdmMXXz5,Suitcase Carry,suitcase hold | suitcase carry hold,core,,CORE,"OBLIQUES, FOREARMS, TRAPS",DUMBBELL,free weights,loaded carry,free_weight,compound,unilateral,no,BEGINNER,yes,distance_time,20,40,,,,,,sandbag_carry | suitcase_deadlift,active,EXISTING
exl_byPsgFQAyg,Suitcase Deadlift,,core,,CORE,"QUADS, GLUTES, FOREARMS",DUMBBELL,free weights,hinge,free_weight,compound,unilateral,no,INTERMEDIATE,no,weight_reps,6,10,,,,,,suitcase_carry | trap_bar_deadlift,active,NEW
exl_59uJ8mgazg,TRX Fallout,trx body saw | suspension fallout,core,,CORE,"SHOULDERS, LATS",TRX,functional,core/anti-movement,bodyweight,isolation,bilateral,yes,INTERMEDIATE,no,bodyweight_reps,8,12,,,,ab_wheel,plank,plank | ab_wheel,active,NEW
exl_YLpbWMrW2q,Trap-Bar Carry,hex bar carry | farmer carry trap bar | trap bar carry,core,,CORE,"FOREARMS, TRAPS, GLUTES",TRAP_BAR,free weights,loaded carry,free_weight,compound,bilateral,no,BEGINNER,yes,distance_time,20,40,,,,,,farmers_carry | trap_bar_deadlift,active,NEW
exl_m2DZymyn1E,Waiter Carry,,core,,CORE,"SHOULDERS, FOREARMS",DUMBBELL,free weights,loaded carry,free_weight,compound,bilateral,no,INTERMEDIATE,no,distance_time,20,40,,,,,,,active,EXISTING
exl_SQ9ZJMtDUq,Dead Hang,hang | passive hang,arms,,FOREARMS,"LATS, TRAPS",PULL_UP_BAR,bodyweight,vertical pull,bodyweight,compound,bilateral,yes,BEGINNER,yes,time,30,45,,,,,,,active,EXISTING
exl_0hxM9Z68Sh,Plate Pinch,,arms,,FOREARMS,,BARBELL,free weights,loaded carry,free_weight,compound,bilateral,no,BEGINNER,yes,distance_time,20,40,,,,,,,active,EXISTING
exl_9YbXNeu9LP,Reverse Curl,,arms,,FOREARMS,"BICEPS, BRACHIALIS",BARBELL,free weights,isolation,free_weight,isolation,bilateral,no,BEGINNER,yes,weight_reps,10,15,,,,,,wrist_extension | zottman_curl,active,EXISTING
exl_iCnkFTPq4b,Wrist Curl,,arms,,FOREARMS,,BARBELL,free weights,isolation,free_weight,isolation,bilateral,no,BEGINNER,yes,weight_reps,10,15,,,,,,wrist_extension,active,EXISTING
exl_4KrfFQoyI6,Wrist Extension,reverse wrist curl | wrist extensor curl,arms,,FOREARMS,,DUMBBELL,free weights,isolation,free_weight,isolation,bilateral,no,BEGINNER,yes,weight_reps,15,20,,,,,,reverse_curl | wrist_curl,active,NEW
exl_QL5b8RErNX,Front Raise,,shoulders,FRONT DELTS,FRONT DELTS,SIDE DELTS,DUMBBELL,free weights,isolation,free_weight,isolation,bilateral,no,BEGINNER,yes,weight_reps,10,15,,,,,,,active,EXISTING
exl_vWhJ7Qlfp6,Plate Front Raise,,shoulders,FRONT DELTS,FRONT DELTS,SIDE DELTS,BARBELL,free weights,isolation,free_weight,isolation,bilateral,no,BEGINNER,yes,weight_reps,10,15,,,,,,,active,EXISTING
exl_7wTxi7ro2X,Barbell Snatch,,full body,,FULL BODY,"QUADS, GLUTES, SHOULDERS, CORE",BARBELL,free weights,hinge,free_weight,compound,bilateral,no,ADVANCED,no,weight_reps,4,8,,,,,,,active,EXISTING
exl_uMosBqdb2y,Burpee,,full body,,FULL BODY,"CORE, CHEST, QUADS",BODYWEIGHT,bodyweight,loaded carry,bodyweight,compound,bilateral,yes,INTERMEDIATE,no,distance_time,20,40,,,,,,,active,EXISTING
exl_3v3iZLaPeA,Clean and Jerk,,full body,,FULL BODY,"QUADS, GLUTES, SHOULDERS, CORE",BARBELL,free weights,hinge,free_weight,compound,bilateral,no,ADVANCED,no,weight_reps,4,8,,,,,,,active,EXISTING
exl_79TuZ58q2x,Devil Press,,full body,,FULL BODY,"SHOULDERS, CORE, QUADS",DUMBBELL,free weights,loaded carry,free_weight,compound,bilateral,no,ADVANCED,no,distance_time,20,40,,,,,,,active,EXISTING
exl_i4e8tv8z1i,Landmine Squat-to-Press,landmine thruster | landmine squat to press,full body,,FULL BODY,"QUADS, SHOULDERS, GLUTES",BARBELL,free weights,squat,free_weight,compound,bilateral,no,INTERMEDIATE,no,weight_reps,8,12,,,,,,push_press | thruster,active,NEW
exl_FZ5Qo9cWEo,Power Clean,,full body,,FULL BODY,"QUADS, GLUTES, TRAPS, CORE",BARBELL,free weights,hinge,free_weight,compound,bilateral,no,ADVANCED,no,weight_reps,4,8,,,,,,sandbag_clean,active,EXISTING
exl_jFAdllE4it,Sandbag Clean,,full body,,FULL BODY,"QUADS, GLUTES, TRAPS",SANDBAG,functional,hinge,free_weight,compound,bilateral,no,INTERMEDIATE,no,weight_reps,6,10,,,,,,sandbag_shouldering | power_clean | kettlebell_swing,active,NEW
exl_cMZ4yaWEhA,Sandbag Shouldering,sandbag over shoulder | sandbag shoulder toss,full body,,FULL BODY,"GLUTES, HAMSTRINGS, CORE",SANDBAG,functional,hinge,free_weight,compound,bilateral,no,INTERMEDIATE,no,weight_reps,5,10,,,,,,deadlift | sandbag_clean,active,NEW
exl_G6MPf0mdX9,Sled Pull,sled row | sled drag row,full body,,FULL BODY,"LATS, TRAPS, CORE",BODYWEIGHT,bodyweight,loaded carry,bodyweight,compound,bilateral,yes,INTERMEDIATE,no,distance_time,20,40,,,,,,,active,EXISTING
exl_RHTU3vUGGT,Sled Push,sled,full body,,FULL BODY,"QUADS, GLUTES, CALVES",BODYWEIGHT,bodyweight,loaded carry,bodyweight,compound,bilateral,yes,INTERMEDIATE,no,distance_time,20,40,,,,,,sled_drag_forward | sled_backward_drag,active,EXISTING
